age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,sex_M,address_U,famsize_LE3,Pstatus_T,nursery,plans_university,past_failures,attandence,support
16,4,4,1,2,5,4,4.0,1.0,2.0,5,1,1,0,1,1,1,0,15.5,-1
17,4,4,1,1,5,3,4.0,1.0,2.0,5,0,1,0,1,1,1,0,0.8125,-1
16,1,1,2,1,4,5,5.0,2.0,4.0,5,1,0,1,1,1,1,0,0.9375,-1
18,1,2,2,1,3,4,4.0,2.0,4.0,4,1,1,0,1,0,-1,0,1.0,-1
17,2,1,2,2,4,2,5.0,1.0,2.0,5,0,0,0,1,1,1,0,0.6875,-1
17,2,4,1,2,4,3,2.0,1.0,1.0,5,0,1,1,1,1,1,0,1.0,-1
15,1,1,3,2,4,2,1.0,1.0,2.0,2,0,0,0,1,1,1,0,0.75,-1
15,3,3,1,4,4,3,3.0,1.0,1.0,4,0,1,0,0,1,1,0,1.0,1
19,1,1,3,1,4,4,4.0,3.0,3.0,5,1,0,0,1,1,1,1,0.6875,-1
17,1,1,1,3,4,3,2.0,1.0,2.0,4,0,1,1,1,1,1,0,0.875,-1
16,3,3,1,2,4,3,3.0,2.0,4.0,5,0,1,0,1,1,1,0,0.6875,1
15,2,2,3,1,4,3,3.0,1.0,2.0,4,1,1,0,1,1,1,0,0.875,-1
17,4,4,1,2,2,3,4.0,1.0,1.0,1,0,1,1,1,1,1,0,0.96875,-1
16,3,3,2,1,4,3,2.0,1.0,1.0,5,0,1,0,0,0,1,0,0.875,-1
17,3,3,1,1,4,3,5.0,3.0,5.0,5,1,1,0,1,0,1,0,0.875,-1
19,4,3,1,2,4,3,1.0,1.0,1.0,1,1,1,1,0,1,1,0,1.0,-1
16,1,0,2,2,4,3,2.0,1.0,1.0,3,1,1,0,1,1,1,0,0.875,-1
18,2,4,1,2,2,3,2.0,1.0,3.0,1,0,1,0,0,1,1,1,1.0,-1
16,2,1,1,2,5,3,3.0,1.0,1.0,1,0,1,0,1,1,1,0,0.75,-1
18,2,2,2,3,4,2,1.0,1.0,1.0,4,0,0,0,1,1,1,0,1.0,-1
16,4,4,1,2,4,5,2.0,1.0,2.0,3,0,1,1,1,1,1,0,0.84375,-1
19,3,3,1,4,4,3,3.0,1.0,2.0,3,0,1,0,1,1,1,0,1.0,-1
